"product_id","product_name"
1,"Bluetooth Tracker"
2,"Coffee Maker"
3,"Monitor"
4,"Memory Card"
5,"Blender"
6,"Memory Card"
7,"Smart Light"
8,"Robot Vacuum"
9,"Router"
10,"Coffee Maker"
11,"Wireless Charger"
12,"Coffee Maker"
13,"Tablet"
14,"Electric Toothbrush"
15,"Microphone"
16,"Smart Light"
17,"Smart Light"
18,"Coffee Maker"
19,"Home Assistant"
20,"Smart TV"
21,"Smart Thermostat"
22,"Wireless Charger"
23,"Smart Plug"
24,"Security Camera"
25,"Portable AC"
26,"Monitor"
27,"Webcam"
28,"Hair Dryer"
29,"Blender"
30,"Drone"
31,"Smart Doorbell"
32,"Flash Drive"
33,"Smart Thermostat"
34,"Electric Scooter"
35,"Blender"
36,"Router"
37,"Air Purifier"
38,"Action Camera"
39,"Air Purifier"
40,"Webcam"
41,"Speaker"
42,"Camera"
43,"Memory Card"
44,"Smart Lock"
45,"Robot Vacuum"
46,"Coffee Maker"
47,"Memory Card"
48,"Drone"
49,"Printer"
50,"Charger"
51,"Monitor"
52,"Memory Card"
53,"Monitor"
54,"VR Headset"
55,"Instant Pot"
56,"Smart Thermostat"
57,"Air Fryer"
58,"Electric Scooter"
59,"Air Fryer"
60,"Portable AC"
61,"Power Bank"
62,"Fitness Tracker"
63,"Smartwatch"
64,"Portable AC"
65,"Bluetooth Tracker"
66,"Memory Card"
67,"Air Purifier"
68,"Gaming Console"
69,"Power Bank"
70,"Mouse"
71,"Flash Drive"
72,"Electric Toothbrush"
73,"Electric Toothbrush"
74,"Monitor"
75,"Hair Dryer"
76,"Wireless Charger"
77,"Smart TV"
78,"Headphones"
79,"Webcam"
80,"Bluetooth Tracker"
81,"Instant Pot"
82,"Smart Lock"
83,"Robot Vacuum"
84,"Keyboard"
85,"Smart TV"
86,"Hard Drive"
87,"Drone"
88,"Electric Scooter"
89,"Home Assistant"
90,"Gaming Console"
91,"Portable AC"
92,"Air Purifier"
93,"Electric Toothbrush"
94,"Drone"
95,"Instant Pot"
96,"Electric Toothbrush"
97,"Wireless Charger"
98,"Juicer"
99,"Smart TV"
100,"Smartwatch"
101,"Smart Thermostat"
102,"Air Fryer"
103,"Smart Lock"
104,"Bluetooth Tracker"
105,"Webcam"
106,"Action Camera"
107,"Laptop"
108,"Coffee Maker"
109,"Flash Drive"
110,"Webcam"
111,"Smart Bulb"
112,"Monitor"
